거래번호,거래일시,사원번호,사용처,결제수단,거래타입,총결제금액,식권결제금액,쿠폰명
2023041284249926,2023.04.12 12:52:13,f13e231af120a3e4380e3a82,샐러디(판교테크노밸리점),쿠폰,승인,10900,10900,넥슨코리아 식권 (월~금)
202304123490892905,2023.04.12 12:52:32,638252813ad7ca49a9474096,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284250007,2023.04.12 12:52:34,4af05d4c0c9b54dd1e4753cd,써브웨이(판교테크노밸리점),쿠폰,승인,11900,11900,넥슨코리아 식권 (월~금)
202304123490893003,2023.04.12 12:52:36,c89f2218bd48acc9ee7c6cc3,봉추찜닭(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893132,2023.04.12 12:52:42,dc4d2f9126d1cf6269cfa5b1,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893181,2023.04.12 12:52:45,4f7d66abea1a021f013be292,봉추찜닭(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893225,2023.04.12 12:52:46,b8bb2f9f98ed8a4355369efa,우영관,포인트복합결제,승인,15000,12000,넥슨코리아 식권 (월~금)
202304123490893298,2023.04.12 12:52:49,2ce92540b1a3e049fc5c8537,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893302,2023.04.12 12:52:50,5f6f77041ff2a9899d7e7ec7,봉추찜닭(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893393,2023.04.12 12:52:54,689b2dbec8d812f717914985,봉추찜닭(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893475,2023.04.12 12:52:58,aa31c3e805561680e8e9a4e8,태호식당(분당구상록면),쿠폰,승인,11000,11000,넥슨코리아 식권 (월~금)
2023041284250091,2023.04.12 12:52:59,0a52cf530cf1dd624b542570,샐러디(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893511,2023.04.12 12:53:00,36271a537473bd74cc883efb,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893508,2023.04.12 12:53:00,ffced16550078dbea226a027,봉추찜닭(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893604,2023.04.12 12:53:04,28e2055bd567e31a504e21f9,오름곰탕(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
